OBJECTID,Parcela,E_m,N_m,EllipsH_m,Pvert_m,Phorz_m,DateTime_,COD_MASA,ESTRATO,gridcode,CoordX,CoordY,ALT
57,28,362200.71110000001,4715769.29200000037,1074.37490000000,0.25470000000,0.17300000000,"22/03/2023
09:07:24",Pnr F d,Pino laricio,212,362200.71110000001,4715769.29200000037,1018.40209960938
58,307,363015.18780000001,4716224.44299999997,1071.55660000000,0.01820000000,0.02080000000,"22/03/2023
08:26:55",Ptr F d,Pino pinaster,322,363015.18780000001,4716224.44299999997,1016.54675292969
59,146,372099.80790000001,4716895.72800000012,1009.03990000000,0.37320000000,0.23340000000,"21/03/2023
10:43:43",Psr F d,Pino silvestre,111,372099.80790000001,4716895.72800000012,951.335083007812
60,26,358822.56579999998,4716919.76800000016,1083.39210000000,0.47660000000,0.28710000000,"22/03/2023
11:30:58",Pnr F d,Pino laricio,222,358822.56579999998,4716919.76800000016,1029.50170898438
61,503,344590.29900000000,4716955.74799999967,1029.30800000000,0.10000000000,0.10000000000,03/04/202312:46:18pm,Qpt LA d,Rebollo,332,344590.29859999998,4716955.74799999967,1028.46801757812
62,145,354365.24380000000,4717006.50499999989,1053.00160000000,0.21530000000,0.14590000000,"24/03/2023
04:01:41",(Psr F x Qp LAxF) d,Pino silvestre,332,354365.24380000000,4717006.50499999989,994.229064941406
63,25,370939.65429999999,4717093.91000000015,988.28540000000,0.03400000000,0.02230000000,"21/03/2023
09:38:38",Pnr F d,Pino laricio,222,370939.65429999999,4717093.91000000015,933.924072265625
64,1110,353899.52889999998,4717231.20700000040,1085.64210000000,0.49700000000,0.34950000000,"30/03/2023
09:18:15",Psr LA d,Pino silvestre,112,353899.52889999998,4717231.20700000040,1030.64001464844
65,24,361572.59930000000,4717354.74899999984,1089.77780000000,0.48730000000,0.32910000000,"22/03/2023
10:12:21",Pnr LA d,Pino laricio,112,361572.59930000000,4717354.74899999984,1026.56005859375
66,137,355163.25490000000,4717462.95399999991,1090.49270000000,0.07580000000,0.06030000000,"24/03/2023
02:28:23",Psr F d,Pino silvestre,222,355163.25490000000,4717462.95399999991,1035.52709960938
67,140,348446.09899999999,4717488.93099999987,1023.45100000000,0.20000000000,0.20000000000,29/03/202302:59:05pm,Psr F d,Pino silvestre,222,348446.09950000001,4717488.93090000004,1018.58312988281
68,142,354172.92489999998,4717724.69699999969,1042.21340000000,0.00000000000,0.00000000000,,Psr F d,Pino silvestre,222,354172.92489999998,4717724.69699999969,1036.93383789062
69,504,345593.57400000002,4717756.36699999962,1028.00000000000,0.10000000000,0.10000000000,03/04/202312:02:55pm,Qpt LA d,Rebollo,112,345593.57380000001,4717756.36660000030,1028.25207519531
70,141,348747.65399999998,4717808.99899999984,1033.07400000000,0.40000000000,0.30000000000,30/03/202309:51:15am,Psr F d,Pino silvestre,212,348747.65419999999,4717808.99909999967,1027.85205078125
71,22,355044.43079999997,4717924.44600000046,1096.55860000000,0.03650000000,0.02990000000,"24/03/2023
03:08:56",Pnr LA d,Pino laricio,232,355044.43079999997,4717924.44600000046,1038.17370605469
72,143,373556.91360000003,4717981.41100000031,1007.13950000000,0.00000000000,0.00000000000,,Psr F d,Pino silvestre,212,373556.91360000003,4717981.41100000031,1006.93206787109
73,21,347129.71299999999,4718039.80999999959,1036.04300000000,0.20000000000,0.20000000000,29/03/202301:26:18pm,Pnr LA d,Pino laricio,322,347129.71289999998,4718039.81039999984,1030.59606933594
74,136,348625.63000000000,4718293.37100000028,1036.13300000000,0.30000000000,0.20000000000,30/03/202310:48:27am,Psr F d,Pino silvestre,322,348625.63010000001,4718293.37129999977,1030.18713378906
75,139,353710.47629999998,4718356.03399999999,1098.74140000000,0.01950000000,0.02020000000,"24/03/2023
05:39:35",Psr F d,Pino silvestre,312,353710.47629999998,4718356.03399999999,1044.04809570312
