"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"PM","huang_2000_II",1305.74317009025,0.67020786580697,3.6736507322748,2.78179107321103,-0.0472391633461183,1295.33898966685,-644.669494833423,"PM_huang_2000_II"
"PM","huang_1992_VII",1310.68519699008,0.670939044043828,3.66957606877341,2.77936079380131,0.0184925869124176,1296.81295642554,-644.406478212772,"PM_huang_1992_VII"
"PM","logistic_model",1310.68519699008,0.670939044043828,3.66957606877341,2.77936079380131,0.0184925869124176,1296.81295642554,-644.406478212772,"PM_logistic_model"
"PM","pearl_1920",1310.68519699572,0.670939044036001,3.66957606881706,2.77936757889981,0.0185018612449731,1296.81295643118,-644.406478215591,"PM_pearl_1920"
"PM","seber_1989",1310.81006706732,0.670765623395902,3.67054290550117,2.74944779845788,0.000199477885698259,1296.93782650278,-644.468913251388,"PM_seber_1989"
"PM","huang_1992",1310.81006707348,0.670765623387339,3.6705429055489,2.74944840872104,0.000200262206241369,1296.93782650894,-644.46891325447,"PM_huang_1992"
"PM","gompertz_model",1310.8100671414,0.670765623292992,3.67054290607482,2.74945194256595,0.000203702318025077,1296.93782657686,-644.468913288428,"PM_gompertz_model"
"PM","lebedev_M18",1311.03663867264,0.670450725383134,3.67229784134926,2.76750307336202,0.011666162875669,1297.1643981081,-644.582199054052,"PM_lebedev_M18"
"PM","lebedev_M28_b",1311.03663867541,0.670450725379281,3.67229784137073,2.76751617664619,0.0116819977115749,1297.16439811087,-644.582199055437,"PM_lebedev_M28_b"
"PM","elmamoun_2013_M19",1311.43470590641,0.669896746489918,3.67538314817855,2.75607763251343,-0.0510597225048862,1297.56246534187,-644.781232670933,"PM_elmamoun_2013_M19"
"PM","yang_1978",1311.43470590641,0.669896746489918,3.67538314817855,2.75607763251343,-0.0510597225048862,1297.56246534187,-644.781232670933,"PM_yang_1978"
"PM","lebedev_M15",1311.93652140219,0.669197056939721,3.67927627235444,2.80797646959786,0.0383917515266915,1298.06428083765,-645.032140418826,"PM_lebedev_M15"
"PM","lebedev_M13",1311.93652143505,0.669197056893863,3.67927627260946,2.80798516216557,0.0384127003949981,1298.06428087051,-645.032140435253,"PM_lebedev_M13"
"PM","lebedev_M23",1311.93652148619,0.669197056822471,3.67927627300648,2.80798726508799,0.0384173471817114,1298.06428092165,-645.032140460827,"PM_lebedev_M23"
"PM","zeide_1992",1316.05618429066,0.671073796536922,3.66882463480822,2.76029642015276,0.00601745416284992,1298.71588358498,-644.35794179249,"PM_zeide_1992"
"PM","elmamoun_2013_M9",1312.71859738966,0.668103637649933,3.68535190267685,2.76474427778302,-0.0370152728664854,1298.84635682512,-645.423178412558,"PM_elmamoun_2013_M9"
"PM","chapman_richards_1959",1312.71859738966,0.668103637649933,3.68535190267685,2.76474427778302,-0.0370152728664854,1298.84635682512,-645.423178412558,"PM_chapman_richards_1959"
"PM","curtis_1967_I",1309.83408056179,0.664465834693336,3.70549380429484,2.80399837645351,-0.0393933397146878,1299.42990013839,-646.714950069193,"PM_curtis_1967_I"
"PM","meyer_1940",1309.83408056243,0.66446583469243,3.70549380429984,2.80399568724901,-0.0393775496785796,1299.42990013903,-646.714950069513,"PM_meyer_1940"
"PM","huang_1992_II",1314.69442916029,0.665325103806186,3.70074606501255,2.83114886510302,-0.087715018340725,1300.82218859575,-646.411094297873,"PM_huang_1992_II"
