"species","model","term","estimate","std.error","statistic","p.value"
"DF","huang_1992_VII","c",0.0899140321196117,0.00168181476834215,53.4625059858669,0
"DF","logistic_model","a",36.9227536148858,0.237082072573985,155.738277525659,0
"DF","logistic_model","b",6.74552585398737,0.211035150264053,31.9639919963437,8.53675907883636e-188
"DF","logistic_model","c",0.0899140321196117,0.00168181476834215,53.4625059858669,0
"DF","pearl_1920","beta0",36.9222326732136,0.237071087367559,155.743296591746,0
"DF","pearl_1920","beta1",6.74575975971087,0.211050822138235,31.9627267563664,8.78442392832985e-188
"DF","pearl_1920","beta2",0.089917994318016,0.00168190060253894,53.4621333640519,0
"DF","lebedev_M13","a",1.0993205857982,0.00201927710209896,544.412940975509,0
"DF","lebedev_M13","b",35.3936534608267,0.234048107835698,151.223839355596,0
"DF","lebedev_M13","c",8.02058290523757,0.284569371673226,28.184983008107,1.07628868120582e-151
"DF","lebedev_M15","a",0.0946923991709023,0.00183684215485858,51.5517345463975,0
"DF","lebedev_M15","b",35.3936459054645,0.23404797707405,151.223891562482,0
"DF","lebedev_M15","c",8.02058685708155,0.284569642543749,28.184970067032,1.07658580902184e-151
"DF","lebedev_M23","a",1.09932079500681,0.0020192823618226,544.411626521894,0
"DF","lebedev_M23","b",35.3936300878497,0.23404762271821,151.224052937564,0
"DF","lebedev_M23","c",0.124679003107262,0.00442360513629767,28.1849304505538,1.07749591518451e-151
"DF","power_model","a",3.5476822714891,0.0816635141602795,43.4426843856624,1.70422326276845e-306
"DF","power_model","b",0.561177014716973,0.00602199587625175,93.1878776154633,0
"DF","stoffels_1953","a",3.54763906653539,0.0816627243714553,43.4425754692975,1.70879484456993e-306
"DF","stoffels_1953","b",0.561180239971796,0.00602200768358032,93.1882304803292,0
